"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"SumAbsDev"	"LargestDev"
"南盟"	0	0	0	0	0	0	1	0	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	-0.013	-0.088	-0.008	-0.06	-0.116	-0.067	0.905	-0.065	1.322	"7"
"南韩"	0	0	0	0	0	0	0	3	0.088	0.549	0.056	0.387	0.702	0.428	0.374	0.417	-0.039	-0.263	-0.024	-0.18	-0.347	-0.201	-0.173	2.571	3.798	"8"
"博士"	1	0	0	0	0	0	0	0	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	1.534	-0.088	-0.008	-0.06	-0.116	-0.067	-0.058	-0.065	1.996	"1"
"卡伊达"	0	0	0	0	0	3	0	0	0.088	0.549	0.056	0.387	0.702	0.428	0.374	0.417	-0.039	-0.263	-0.024	-0.18	-0.347	2.536	-0.173	-0.195	3.757	"6"
"卡比拉"	0	0	0	0	0	0	0	1	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	-0.013	-0.088	-0.008	-0.06	-0.116	-0.067	-0.058	0.857	1.267	"8"
"卡萨"	0	0	0	0	0	1	0	0	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	-0.013	-0.088	-0.008	-0.06	-0.116	0.845	-0.058	-0.065	1.253	"6"
"卫建"	0	0	0	0	0	1	0	0	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	-0.013	-0.088	-0.008	-0.06	-0.116	0.845	-0.058	-0.065	1.253	"6"
"印卡塔自由党"	0	0	0	1	0	0	0	0	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	-0.013	-0.088	-0.008	0.889	-0.116	-0.067	-0.058	-0.065	1.304	"4"
"印尼"	0	0	0	0	1	2	0	0	0.088	0.549	0.056	0.387	0.702	0.428	0.374	0.417	-0.039	-0.263	-0.024	-0.18	0.259	1.257	-0.173	-0.195	2.39	"6"
"印度"	0	0	0	0	1	2	0	0	0.088	0.549	0.056	0.387	0.702	0.428	0.374	0.417	-0.039	-0.263	-0.024	-0.18	0.259	1.257	-0.173	-0.195	2.39	"6"
"印度人民"	0	0	0	0	1	0	0	0	0.029	0.183	0.019	0.129	0.234	0.143	0.125	0.139	-0.013	-0.088	-0.008	-0.06	0.631	-0.067	-0.058	-0.065	0.99	"5"
"即将"	0	0	0	0	0	0	2	0	0.058	0.366	0.037	0.258	0.468	0.285	0.249	0.278	-0.026	-0.176	-0.016	-0.12	-0.231	-0.134	1.809	-0.13	2.642	"7"
"厂长"	0	0	0	0	2	0	0	0	0.058	0.366	0.037	0.258	0.468	0.285	0.249	0.278	-0.026	-0.176	-0.016	-0.12	1.262	-0.134	-0.116	-0.13	1.98	"5"
"厅"	0	2	0	0	0	0	0	0	0.058	0.366	0.037	0.258	0.468	0.285	0.249	0.278	-0.026	1.475	-0.016	-0.12	-0.231	-0.134	-0.116	-0.13	2.248	"2"
