"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"SumAbsDev"	"LargestDev"
"动员"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"动机"	0	2	1	0	0	0.809	0.356	1.133	0.365	0.336	-0.41	1.41	-0.168	-0.169	-0.155	2.312	"2"
"勇于"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"包高"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"北京"	80	0	0	0	2	22.125	9.735	30.975	9.979	9.186	42.262	-4.501	-16.895	-4.621	-2.423	70.702	"1"
"午夜"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"半价"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"半死不活"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"华尔街"	0	0	1	0	0	0.27	0.119	0.378	0.122	0.112	-0.137	-0.055	0.423	-0.056	-0.052	0.723	"3"
"华尔街日报"	0	0	3	0	0	0.809	0.356	1.133	0.365	0.336	-0.41	-0.165	1.268	-0.169	-0.155	2.167	"3"
"华文"	0	0	2	16	1	5.127	2.256	7.177	2.312	2.128	-2.595	-1.043	-2.036	11.808	-0.449	17.931	"4"
