"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"SumAbsDev"	"LargestDev"
"佩鲁贾"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"使用"	0	0	8	0	0	0.822	2.997	2.765	0.424	0.991	-0.377	-1.631	3.691	-0.189	-0.46	6.348	"3"
"例行"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"供"	0	0	3	0	0	0.308	1.124	1.037	0.159	0.372	-0.141	-0.612	1.384	-0.071	-0.172	2.38	"3"
"依据"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"依法"	0	0	3	0	0	0.308	1.124	1.037	0.159	0.372	-0.141	-0.612	1.384	-0.071	-0.172	2.38	"3"
"侨校"	0	0	0	0	1	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	-0.184	-0.024	0.907	1.366	"5"
"俄"	0	0	0	0	3	0.308	1.124	1.037	0.159	0.372	-0.141	-0.612	-0.553	-0.071	2.721	4.098	"5"
"俄军"	0	0	0	0	1	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	-0.184	-0.024	0.907	1.366	"5"
"俄罗斯"	0	0	0	0	3	0.308	1.124	1.037	0.159	0.372	-0.141	-0.612	-0.553	-0.071	2.721	4.098	"5"
"保加利亚"	0	0	0	0	2	0.206	0.749	0.691	0.106	0.248	-0.094	-0.408	-0.368	-0.047	1.814	2.731	"5"
"保密"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"保通"	0	0	0	0	1	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	-0.184	-0.024	0.907	1.366	"5"
"信息"	0	0	3	0	0	0.308	1.124	1.037	0.159	0.372	-0.141	-0.612	1.384	-0.071	-0.172	2.38	"3"
"倒闭"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"借由"	0	0	0	0	1	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	-0.184	-0.024	0.907	1.366	"5"
"假"	0	2	0	0	0	0.206	0.749	0.691	0.106	0.248	-0.094	0.853	-0.368	-0.047	-0.115	1.477	"2"
"假货"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"停尸处"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"停工"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"停征"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"党校"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"入驻"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"全"	0	2	0	0	0	0.206	0.749	0.691	0.106	0.248	-0.094	0.853	-0.368	-0.047	-0.115	1.477	"2"
"全国"	0	2	6	0	0	0.822	2.997	2.765	0.424	0.991	-0.377	-0.431	1.625	-0.189	-0.46	3.082	"3"
"八卦"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"公"	0	0	3	0	0	0.308	1.124	1.037	0.159	0.372	-0.141	-0.612	1.384	-0.071	-0.172	2.38	"3"
"公佈"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"公告"	0	0	5	0	0	0.514	1.873	1.728	0.265	0.62	-0.235	-1.019	2.307	-0.118	-0.287	3.966	"3"
"公安厅"	0	0	1	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	0.461	-0.024	-0.057	0.793	"3"
"公安部"	0	0	2	0	0	0.206	0.749	0.691	0.106	0.248	-0.094	-0.408	0.923	-0.047	-0.115	1.587	"3"
"公布"	0	3	1	0	0	0.411	1.499	1.383	0.212	0.496	-0.188	0.82	-0.244	-0.095	-0.23	1.577	"2"
"公报"	0	0	4	0	0	0.411	1.499	1.383	0.212	0.496	-0.188	-0.815	1.846	-0.095	-0.23	3.174	"3"
"公正"	0	2	0	1	0	0.308	1.124	1.037	0.159	0.372	-0.141	0.5	-0.553	0.821	-0.172	2.187	"4"
"共和党"	0	1	0	0	0	0.103	0.375	0.346	0.053	0.124	-0.047	0.426	-0.184	-0.024	-0.057	0.738	"2"
"共和国"	0	0	0	0	1	0.103	0.375	0.346	0.053	0.124	-0.047	-0.204	-0.184	-0.024	0.907	1.366	"5"
"关于"	0	0	3	0	0	0.308	1.124	1.037	0.159	0.372	-0.141	-0.612	1.384	-0.071	-0.172	2.38	"3"
