"Coll_Word"	"1"	"2"	"3"	"4"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"SumAbsDev"	"LargestDev"
"多元"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"多功能"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"多方面"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"多样水"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"多空"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"夜生活"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"大"	5	0	0	43	6.798	2.205	6.706	32.291	-0.511	-0.98	-3.137	3.487	8.115	"4"
"大众"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"大众化"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"大幅度"	0	0	0	2	0.283	0.092	0.279	1.345	-0.133	-0.041	-0.131	0.344	0.649	"4"
"大气"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"大环"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"大部份"	0	2	0	0	0.283	0.092	0.279	1.345	-0.133	2.676	-0.131	-0.97	3.91	"2"
"天气"	0	1	3	0	0.567	0.184	0.559	2.691	-0.265	0.766	2.01	-1.94	4.981	"3"
"天津港"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"天翻地覆"	1	0	0	1	0.283	0.092	0.279	1.345	0.58	-0.041	-0.131	-0.262	1.014	"1"
"天资"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"太"	0	0	0	9	1.275	0.413	1.257	6.055	-0.597	-0.184	-0.588	1.549	2.918	"4"
"太多"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"失调"	1	0	0	0	0.142	0.046	0.14	0.673	0.849	-0.02	-0.065	-0.485	1.419	"1"
"奖牌"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"奸夫"	0	0	2	0	0.283	0.092	0.279	1.345	-0.133	-0.041	1.71	-0.97	2.854	"3"
"好在"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"好玩"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"如上"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"如此"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"姿"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"娱乐"	1	0	0	0	0.142	0.046	0.14	0.673	0.849	-0.02	-0.065	-0.485	1.419	"1"
"婚姻"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
"学力"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"完美"	0	0	1	0	0.142	0.046	0.14	0.673	-0.066	-0.02	0.855	-0.485	1.426	"3"
"宏愿"	0	0	0	1	0.142	0.046	0.14	0.673	-0.066	-0.02	-0.065	0.172	0.323	"4"
