"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"SumAbsDev"	"LargestDev"
"观念"	0	1	0	0	0	0	0	0.14	0.275	0.046	0.169	0.065	0.128	0.179	-0.065	0.561	-0.02	-0.08	-0.029	-0.059	-0.085	0.899	"2"
"观摩"	1	0	0	0	0	0	0	0.14	0.275	0.046	0.169	0.065	0.128	0.179	0.855	-0.139	-0.02	-0.08	-0.029	-0.059	-0.085	1.267	"1"
"规定"	0	4	0	0	0	0	0	0.559	1.098	0.182	0.676	0.26	0.511	0.714	-0.261	2.246	-0.081	-0.321	-0.117	-0.237	-0.342	3.605	"2"
"规范"	0	3	0	0	0	0	0	0.419	0.824	0.137	0.507	0.195	0.383	0.536	-0.196	1.684	-0.061	-0.241	-0.088	-0.178	-0.256	2.704	"2"
"角"	0	0	0	0	0	1	0	0.14	0.275	0.046	0.169	0.065	0.128	0.179	-0.065	-0.139	-0.02	-0.08	-0.029	0.894	-0.085	1.312	"6"
"触"	1	0	0	0	0	0	0	0.14	0.275	0.046	0.169	0.065	0.128	0.179	0.855	-0.139	-0.02	-0.08	-0.029	-0.059	-0.085	1.267	"1"
"警告"	0	0	0	2	0	1	1	0.559	1.098	0.182	0.676	0.26	0.511	0.714	-0.261	-0.558	-0.081	0.87	-0.117	0.376	0.264	2.527	"4"
"警察"	0	1	0	0	0	0	0	0.14	0.275	0.046	0.169	0.065	0.128	0.179	-0.065	0.561	-0.02	-0.08	-0.029	-0.059	-0.085	0.899	"2"
"警铃"	1	0	0	0	0	0	0	0.14	0.275	0.046	0.169	0.065	0.128	0.179	0.855	-0.139	-0.02	-0.08	-0.029	-0.059	-0.085	1.267	"1"
"认出"	1	0	0	0	0	0	0	0.14	0.275	0.046	0.169	0.065	0.128	0.179	0.855	-0.139	-0.02	-0.08	-0.029	-0.059	-0.085	1.267	"1"
"讨论"	0	2	1	0	0	2	3	1.118	2.196	0.364	1.351	0.52	1.022	1.429	-0.523	-0.21	0.507	-0.643	-0.233	0.565	0.801	3.482	"7"
"让"	0	1	0	0	0	0	0	0.14	0.275	0.046	0.169	0.065	0.128	0.179	-0.065	0.561	-0.02	-0.08	-0.029	-0.059	-0.085	0.899	"2"
"议员"	1	1	0	2	0	0	2	0.838	1.647	0.273	1.013	0.39	0.767	1.072	0.226	-0.322	-0.121	0.571	-0.175	-0.356	0.534	2.305	"4"
"讲话"	0	0	0	0	0	1	0	0.14	0.275	0.046	0.169	0.065	0.128	0.179	-0.065	-0.139	-0.02	-0.08	-0.029	0.894	-0.085	1.312	"6"
"许水德"	0	2	0	0	0	0	0	0.279	0.549	0.091	0.338	0.13	0.256	0.357	-0.131	1.123	-0.04	-0.161	-0.058	-0.119	-0.171	1.803	"2"
"访美"	0	0	0	0	0	0	1	0.14	0.275	0.046	0.169	0.065	0.128	0.179	-0.065	-0.139	-0.02	-0.08	-0.029	-0.059	0.748	1.14	"7"
"访问"	1	2	0	0	0	2	3	1.118	2.196	0.364	1.351	0.52	1.022	1.429	-0.161	-0.21	-0.162	-0.643	-0.233	0.565	0.801	2.775	"7"
"证"	1	0	0	0	0	0	0	0.14	0.275	0.046	0.169	0.065	0.128	0.179	0.855	-0.139	-0.02	-0.08	-0.029	-0.059	-0.085	1.267	"1"
"证实"	0	1	0	1	1	0	4	0.978	1.922	0.319	1.182	0.455	0.894	1.25	-0.457	-0.414	-0.142	-0.178	0.426	-0.416	1.648	3.681	"7"
"证词"	0	0	0	0	1	0	0	0.14	0.275	0.046	0.169	0.065	0.128	0.179	-0.065	-0.139	-0.02	-0.08	1.187	-0.059	-0.085	1.635	"5"
"评价"	0	0	0	0	0	0	1	0.14	0.275	0.046	0.169	0.065	0.128	0.179	-0.065	-0.139	-0.02	-0.08	-0.029	-0.059	0.748	1.14	"7"
"诊所"	2	0	0	0	0	0	0	0.279	0.549	0.091	0.338	0.13	0.256	0.357	1.71	-0.279	-0.04	-0.161	-0.058	-0.119	-0.171	2.538	"1"
"话"	0	0	0	1	0	0	1	0.279	0.549	0.091	0.338	0.13	0.256	0.357	-0.131	-0.279	-0.04	0.51	-0.058	-0.119	0.488	1.625	"4"
"话说"	0	0	0	5	0	0	0	0.698	1.373	0.228	0.844	0.325	0.639	0.893	-0.327	-0.697	-0.101	3.862	-0.146	-0.297	-0.427	5.857	"4"
"询问"	0	0	0	1	0	0	0	0.14	0.275	0.046	0.169	0.065	0.128	0.179	-0.065	-0.139	-0.02	0.772	-0.029	-0.059	-0.085	1.169	"4"
"该"	1	4	0	3	0	3	2	1.816	3.569	0.592	2.195	0.845	1.661	2.322	-0.357	0.303	-0.263	0.42	-0.379	0.646	-0.235	2.603	"6"
"说"	6	4	6	39	8	20	17	13.97	27.454	4.553	16.888	6.499	12.776	17.86	-2.004	-8.985	0.517	6.912	0.489	1.566	-0.324	20.797	"2"
"说明"	0	1	0	1	0	0	1	0.419	0.824	0.137	0.507	0.195	0.383	0.536	-0.196	0.209	-0.061	0.371	-0.088	-0.178	0.351	1.454	"4"
"说法"	0	1	0	0	0	0	0	0.14	0.275	0.046	0.169	0.065	0.128	0.179	-0.065	0.561	-0.02	-0.08	-0.029	-0.059	-0.085	0.899	"2"
"请"	0	1	0	0	0	0	0	0.14	0.275	0.046	0.169	0.065	0.128	0.179	-0.065	0.561	-0.02	-0.08	-0.029	-0.059	-0.085	0.899	"2"
"请假"	1	0	0	0	0	0	0	0.14	0.275	0.046	0.169	0.065	0.128	0.179	0.855	-0.139	-0.02	-0.08	-0.029	-0.059	-0.085	1.267	"1"
"课程"	0	4	0	0	0	0	0	0.559	1.098	0.182	0.676	0.26	0.511	0.714	-0.261	2.246	-0.081	-0.321	-0.117	-0.237	-0.342	3.605	"2"
"调低"	0	1	0	0	0	0	0	0.14	0.275	0.046	0.169	0.065	0.128	0.179	-0.065	0.561	-0.02	-0.08	-0.029	-0.059	-0.085	0.899	"2"
"调整"	0	2	0	0	0	0	0	0.279	0.549	0.091	0.338	0.13	0.256	0.357	-0.131	1.123	-0.04	-0.161	-0.058	-0.119	-0.171	1.803	"2"
"调查"	0	0	0	2	0	0	0	0.279	0.549	0.091	0.338	0.13	0.256	0.357	-0.131	-0.279	-0.04	1.545	-0.058	-0.119	-0.171	2.343	"4"
"调查局"	0	0	0	1	0	0	0	0.14	0.275	0.046	0.169	0.065	0.128	0.179	-0.065	-0.139	-0.02	0.772	-0.029	-0.059	-0.085	1.169	"4"
"调查组"	0	0	0	0	0	2	0	0.279	0.549	0.091	0.338	0.13	0.256	0.357	-0.131	-0.279	-0.04	-0.161	-0.058	1.787	-0.171	2.627	"6"
"调派"	1	0	0	0	0	0	0	0.14	0.275	0.046	0.169	0.065	0.128	0.179	0.855	-0.139	-0.02	-0.08	-0.029	-0.059	-0.085	1.267	"1"
"调薪案"	0	1	0	0	0	0	0	0.14	0.275	0.046	0.169	0.065	0.128	0.179	-0.065	0.561	-0.02	-0.08	-0.029	-0.059	-0.085	0.899	"2"
"谈"	0	0	0	0	0	0	2	0.279	0.549	0.091	0.338	0.13	0.256	0.357	-0.131	-0.279	-0.04	-0.161	-0.058	-0.119	1.496	2.284	"7"
