"Coll_Word"	"1"	"2"	"3"	"4"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"SumAbsDev"	"LargestDev"
"爱滋"	0	0	0	2	0.215	0.669	0.186	0.93	-0.099	-0.354	-0.085	0.665	1.203	"4"
"父母"	0	0	0	5	0.536	1.674	0.466	2.324	-0.246	-0.885	-0.212	1.664	3.007	"4"
"片段"	0	0	0	1	0.107	0.335	0.093	0.465	-0.049	-0.177	-0.042	0.333	0.601	"4"
"牙"	0	0	1	0	0.107	0.335	0.093	0.465	-0.049	-0.177	1.031	-0.271	1.528	"3"
"牙医师"	0	1	0	0	0.107	0.335	0.093	0.465	-0.049	0.475	-0.042	-0.271	0.837	"2"
"特"	0	0	1	0	0.107	0.335	0.093	0.465	-0.049	-0.177	1.031	-0.271	1.528	"3"
"特许"	0	0	0	1	0.107	0.335	0.093	0.465	-0.049	-0.177	-0.042	0.333	0.601	"4"
"献身"	1	0	0	0	0.107	0.335	0.093	0.465	0.97	-0.177	-0.042	-0.271	1.46	"1"
"玉峰"	0	0	1	0	0.107	0.335	0.093	0.465	-0.049	-0.177	1.031	-0.271	1.528	"3"
"王俊"	0	1	0	0	0.107	0.335	0.093	0.465	-0.049	0.475	-0.042	-0.271	0.837	"2"
"王燕萍"	0	1	0	0	0.107	0.335	0.093	0.465	-0.049	0.475	-0.042	-0.271	0.837	"2"
"王爱霞"	0	1	0	0	0.107	0.335	0.093	0.465	-0.049	0.475	-0.042	-0.271	0.837	"2"
"王赓武"	0	1	3	0	0.429	1.339	0.373	1.859	-0.197	-0.229	2.521	-1.086	4.033	"3"
"王辰"	0	0	1	0	0.107	0.335	0.093	0.465	-0.049	-0.177	1.031	-0.271	1.528	"3"
"王鼎昌"	0	0	0	1	0.107	0.335	0.093	0.465	-0.049	-0.177	-0.042	0.333	0.601	"4"
"环"	0	0	0	2	0.215	0.669	0.186	0.93	-0.099	-0.354	-0.085	0.665	1.203	"4"
"环保"	0	0	0	1	0.107	0.335	0.093	0.465	-0.049	-0.177	-0.042	0.333	0.601	"4"
"环境"	0	0	0	3	0.322	1.004	0.28	1.394	-0.148	-0.531	-0.127	0.998	1.804	"4"
