"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"exp_8"	"exp_9"	"exp_10"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"pbin_8"	"pbin_9"	"pbin_10"	"SumAbsDev"	"LargestDev"
"下沉"	0	0	0	0	0	0	0	0	0	1	0.279	0.119	0.061	0.018	0.062	0.138	0.069	0.056	0.017	0.182	-0.142	-0.055	-0.027	-0.008	-0.028	-0.064	-0.031	-0.025	-0.007	0.74	1.127	"10"
"下游"	0	0	0	0	0	0	2	0	0	1	0.837	0.358	0.182	0.054	0.185	0.413	0.208	0.168	0.05	0.545	-0.426	-0.166	-0.082	-0.024	-0.083	-0.193	1.861	-0.075	-0.022	0.345	3.277	"7"
"不准"	0	0	0	1	0	0	0	0	0	0	0.279	0.119	0.061	0.018	0.062	0.138	0.069	0.056	0.017	0.182	-0.142	-0.055	-0.027	1.744	-0.028	-0.064	-0.031	-0.025	-0.007	-0.087	2.21	"4"
"不利"	0	0	0	0	0	0	0	0	0	1	0.279	0.119	0.061	0.018	0.062	0.138	0.069	0.056	0.017	0.182	-0.142	-0.055	-0.027	-0.008	-0.028	-0.064	-0.031	-0.025	-0.007	0.74	1.127	"10"
"不堪"	0	0	0	0	0	1	0	0	0	0	0.279	0.119	0.061	0.018	0.062	0.138	0.069	0.056	0.017	0.182	-0.142	-0.055	-0.027	-0.008	-0.028	0.861	-0.031	-0.025	-0.007	-0.087	1.271	"6"
"不得"	0	0	0	0	0	1	0	0	0	1	0.558	0.239	0.121	0.036	0.123	0.275	0.139	0.112	0.034	0.364	-0.284	-0.11	-0.054	-0.016	-0.055	0.591	-0.062	-0.05	-0.015	0.481	1.718	"6"
"不用"	0	0	0	0	0	0	1	0	0	0	0.279	0.119	0.061	0.018	0.062	0.138	0.069	0.056	0.017	0.182	-0.142	-0.055	-0.027	-0.008	-0.028	-0.064	1.159	-0.025	-0.007	-0.087	1.602	"7"
"不要"	0	0	0	0	0	2	0	0	0	0	0.558	0.239	0.121	0.036	0.123	0.275	0.139	0.112	0.034	0.364	-0.284	-0.11	-0.054	-0.016	-0.055	1.723	-0.062	-0.05	-0.015	-0.174	2.543	"6"
"不顾"	0	0	0	0	0	0	0	0	0	1	0.279	0.119	0.061	0.018	0.062	0.138	0.069	0.056	0.017	0.182	-0.142	-0.055	-0.027	-0.008	-0.028	-0.064	-0.031	-0.025	-0.007	0.74	1.127	"10"
"与此同时"	0	0	0	0	0	0	0	0	0	1	0.279	0.119	0.061	0.018	0.062	0.138	0.069	0.056	0.017	0.182	-0.142	-0.055	-0.027	-0.008	-0.028	-0.064	-0.031	-0.025	-0.007	0.74	1.127	"10"
"专营"	0	0	0	0	0	0	0	1	0	0	0.279	0.119	0.061	0.018	0.062	0.138	0.069	0.056	0.017	0.182	-0.142	-0.055	-0.027	-0.008	-0.028	-0.064	-0.031	1.253	-0.007	-0.087	1.702	"8"
"世"	0	0	0	0	0	0	0	1	0	0	0.279	0.119	0.061	0.018	0.062	0.138	0.069	0.056	0.017	0.182	-0.142	-0.055	-0.027	-0.008	-0.028	-0.064	-0.031	1.253	-0.007	-0.087	1.702	"8"
"东海"	5	1	0	0	0	0	0	0	0	0	1.673	0.716	0.364	0.108	0.37	0.826	0.416	0.335	0.101	1.091	2.11	0.273	-0.163	-0.047	-0.166	-0.386	-0.187	-0.15	-0.044	-0.523	4.049	"1"
"东移"	0	0	0	0	0	0	0	1	0	0	0.279	0.119	0.061	0.018	0.062	0.138	0.069	0.056	0.017	0.182	-0.142	-0.055	-0.027	-0.008	-0.028	-0.064	-0.031	1.253	-0.007	-0.087	1.702	"8"
"东经"	0	1	0	0	0	0	0	0	0	0	0.279	0.119	0.061	0.018	0.062	0.138	0.069	0.056	0.017	0.182	-0.142	0.923	-0.027	-0.008	-0.028	-0.064	-0.031	-0.025	-0.007	-0.087	1.342	"2"
"东西号"	0	0	0	0	0	0	0	0	1	0	0.279	0.119	0.061	0.018	0.062	0.138	0.069	0.056	0.017	0.182	-0.142	-0.055	-0.027	-0.008	-0.028	-0.064	-0.031	-0.025	1.774	-0.087	2.241	"9"
"两万多"	0	2	0	0	0	0	0	0	0	0	0.558	0.239	0.121	0.036	0.123	0.275	0.139	0.112	0.034	0.364	-0.284	1.847	-0.054	-0.016	-0.055	-0.129	-0.062	-0.05	-0.015	-0.174	2.686	"2"
"严加"	5	0	0	0	3	0	0	0	0	0	2.231	0.954	0.486	0.144	0.493	1.101	0.555	0.447	0.135	1.454	1.366	-0.441	-0.218	-0.063	1.985	-0.514	-0.25	-0.2	-0.059	-0.697	5.793	"5"
"严格"	0	0	1	2	1	3	0	0	0	1	2.231	0.954	0.486	0.144	0.493	1.101	0.555	0.447	0.135	1.454	-1.136	-0.441	0.404	2.072	0.399	1.068	-0.25	-0.2	-0.059	-0.253	6.282	"4"
"严禁"	0	0	0	0	0	0	0	0	0	3	0.837	0.358	0.182	0.054	0.185	0.413	0.208	0.168	0.05	0.545	-0.426	-0.166	-0.082	-0.024	-0.083	-0.193	-0.094	-0.075	-0.022	2.221	3.386	"10"
"中华"	0	0	0	0	0	0	0	0	0	2	0.558	0.239	0.121	0.036	0.123	0.275	0.139	0.112	0.034	0.364	-0.284	-0.11	-0.054	-0.016	-0.055	-0.129	-0.062	-0.05	-0.015	1.481	2.256	"10"
"中国"	0	1	0	0	0	0	0	6	0	4	3.067	1.312	0.668	0.198	0.678	1.514	0.764	0.615	0.185	2	-1.562	-0.211	-0.299	-0.087	-0.304	-0.707	-0.344	4.958	-0.081	0.909	9.462	"8"
"中国籍"	0	0	0	0	0	1	0	0	0	0	0.279	0.119	0.061	0.018	0.062	0.138	0.069	0.056	0.017	0.182	-0.142	-0.055	-0.027	-0.008	-0.028	0.861	-0.031	-0.025	-0.007	-0.087	1.271	"6"
"中小型"	0	0	0	0	0	0	0	1	0	0	0.279	0.119	0.061	0.018	0.062	0.138	0.069	0.056	0.017	0.182	-0.142	-0.055	-0.027	-0.008	-0.028	-0.064	-0.031	1.253	-0.007	-0.087	1.702	"8"
"中心"	0	0	0	0	0	0	0	0	0	1	0.279	0.119	0.061	0.018	0.062	0.138	0.069	0.056	0.017	0.182	-0.142	-0.055	-0.027	-0.008	-0.028	-0.064	-0.031	-0.025	-0.007	0.74	1.127	"10"
"中游"	0	0	0	0	0	0	1	0	0	0	0.279	0.119	0.061	0.018	0.062	0.138	0.069	0.056	0.017	0.182	-0.142	-0.055	-0.027	-0.008	-0.028	-0.064	1.159	-0.025	-0.007	-0.087	1.602	"7"
"中船"	0	0	0	0	0	0	0	0	0	1	0.279	0.119	0.061	0.018	0.062	0.138	0.069	0.056	0.017	0.182	-0.142	-0.055	-0.027	-0.008	-0.028	-0.064	-0.031	-0.025	-0.007	0.74	1.127	"10"
"中远"	0	1	0	0	0	0	0	0	0	0	0.279	0.119	0.061	0.018	0.062	0.138	0.069	0.056	0.017	0.182	-0.142	0.923	-0.027	-0.008	-0.028	-0.064	-0.031	-0.025	-0.007	-0.087	1.342	"2"
"为主"	0	0	0	0	0	0	0	1	0	0	0.279	0.119	0.061	0.018	0.062	0.138	0.069	0.056	0.017	0.182	-0.142	-0.055	-0.027	-0.008	-0.028	-0.064	-0.031	1.253	-0.007	-0.087	1.702	"8"
"主力军"	0	0	0	0	0	0	0	2	0	0	0.558	0.239	0.121	0.036	0.123	0.275	0.139	0.112	0.034	0.364	-0.284	-0.11	-0.054	-0.016	-0.055	-0.129	-0.062	2.505	-0.015	-0.174	3.404	"8"
"之前"	0	0	0	0	0	0	2	0	0	0	0.558	0.239	0.121	0.036	0.123	0.275	0.139	0.112	0.034	0.364	-0.284	-0.11	-0.054	-0.016	-0.055	-0.129	2.317	-0.05	-0.015	-0.174	3.204	"7"
"乘坐"	0	0	0	0	0	1	0	0	0	0	0.279	0.119	0.061	0.018	0.062	0.138	0.069	0.056	0.017	0.182	-0.142	-0.055	-0.027	-0.008	-0.028	0.861	-0.031	-0.025	-0.007	-0.087	1.271	"6"
"乘客"	0	1	0	0	0	1	0	0	0	1	0.837	0.358	0.182	0.054	0.185	0.413	0.208	0.168	0.05	0.545	-0.426	0.499	-0.082	-0.024	-0.083	0.445	-0.094	-0.075	-0.022	0.345	2.095	"2"
"九"	5	1	0	0	0	0	0	0	0	0	1.673	0.716	0.364	0.108	0.37	0.826	0.416	0.335	0.101	1.091	2.11	0.273	-0.163	-0.047	-0.166	-0.386	-0.187	-0.15	-0.044	-0.523	4.049	"1"
"九级"	44	0	0	0	0	0	0	0	0	0	12.269	5.249	2.671	0.793	2.71	6.055	3.054	2.459	0.74	7.999	24.404	-2.427	-1.197	-0.348	-1.215	-2.829	-1.375	-1.099	-0.324	-3.834	39.052	"1"
