"Coll_Word"	"1"	"2"	"3"	"4"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"SumAbsDev"	"LargestDev"
"3月"	0	2	0	2	1.696	0.74	0.414	1.15	-0.958	0.801	-0.19	0.486	2.435	"1"
"4日"	0	2	1	1	1.696	0.74	0.414	1.15	-0.958	0.801	0.451	-0.172	2.382	"1"
"4月"	0	6	1	0	2.968	1.295	0.725	2.012	-1.677	3.627	0.272	-1.03	6.606	"2"
"4楼"	0	1	0	0	0.424	0.185	0.104	0.287	-0.24	0.733	-0.047	-0.147	1.167	"2"
"50周年"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"5日"	0	3	1	0	1.696	0.74	0.414	1.15	-0.958	1.661	0.451	-0.589	3.659	"2"
"5时"	0	1	0	1	0.848	0.37	0.207	0.575	-0.479	0.474	-0.095	0.308	1.356	"1"
"5月"	0	7	3	1	4.664	2.035	1.139	3.162	-2.635	2.917	1.012	-0.884	7.448	"2"
"64周年"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"67467582／67417303"	0	0	0	1	0.424	0.185	0.104	0.287	-0.24	-0.089	-0.047	0.541	0.917	"4"
"6日"	0	3	0	0	1.272	0.555	0.311	0.862	-0.719	2.199	-0.142	-0.442	3.502	"2"
"6月"	0	10	2	2	5.936	2.59	1.45	4.024	-3.354	4.647	0.363	-0.729	9.093	"2"
"7日"	0	1	0	0	0.424	0.185	0.104	0.287	-0.24	0.733	-0.047	-0.147	1.167	"2"
"7月"	0	5	1	3	3.816	1.665	0.932	2.587	-2.156	1.852	0.203	0.298	4.509	"1"
"8年"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"8日"	0	0	1	0	0.424	0.185	0.104	0.287	-0.24	-0.089	0.985	-0.147	1.461	"3"
"8月"	0	9	2	3	5.936	2.59	1.45	4.024	-3.354	3.688	0.363	-0.404	7.809	"2"
"900102"	0	0	0	1	0.424	0.185	0.104	0.287	-0.24	-0.089	-0.047	0.541	0.917	"4"
"9日"	0	1	0	0	0.424	0.185	0.104	0.287	-0.24	0.733	-0.047	-0.147	1.167	"2"
"9月"	0	8	7	4	8.055	3.515	1.968	5.462	-4.552	1.83	2.681	-0.49	9.553	"1"
"MuangOo"	0	1	0	0	0.424	0.185	0.104	0.287	-0.24	0.733	-0.047	-0.147	1.167	"2"
"PARK"	0	0	1	0	0.424	0.185	0.104	0.287	-0.24	-0.089	0.985	-0.147	1.461	"3"
"Pilates"	0	1	0	0	0.424	0.185	0.104	0.287	-0.24	0.733	-0.047	-0.147	1.167	"2"
"SINGAPORE"	0	0	1	0	0.424	0.185	0.104	0.287	-0.24	-0.089	0.985	-0.147	1.461	"3"
"Tin"	0	1	0	0	0.424	0.185	0.104	0.287	-0.24	0.733	-0.047	-0.147	1.167	"2"
"ttp:"	0	0	1	0	0.424	0.185	0.104	0.287	-0.24	-0.089	0.985	-0.147	1.461	"3"
"一下"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"一九九一年"	1	0	0	0	0.424	0.185	0.104	0.287	0.373	-0.089	-0.047	-0.147	0.656	"1"
"一再"	0	1	0	0	0.424	0.185	0.104	0.287	-0.24	0.733	-0.047	-0.147	1.167	"2"
